painter;painterLabel;nationalityLabel;birthDate;deathDate;artMovementLabel;Period
http://www.wikidata.org/entity/Q3066387;Fang Congyi;Chine;1302-01-01 ;1393-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q3066387;Fang Congyi;dynastie Yuan en Chine;1302-01-01 ;1393-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q8655;Tövtömör Khan;dynastie Yuan en Chine;1304-02-24 ;1332-09-10 ;;1300-1400
http://www.wikidata.org/entity/Q1035758;Hertul mester;Hongrie;1305-01-01 ;1355-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q700903;Wang Meng;dynastie Yuan en Chine;1308-01-01 ;1385-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q4404896;Sa Dula;dynastie Yuan en Chine;1308-01-01 ;1355-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q3514212;Takashina Takakane;Japon;1309-01-01 ;1330-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q3481876;Sheng Mao;dynastie Yuan en Chine;1310-01-01 ;1360-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q713013;Song Lian;dynastie Ming;1310-11-04 ;1381-06-20 ;;1300-1400
http://www.wikidata.org/entity/Q699485;Liu Ji;dynastie Ming;1311-07-09 ;1375-05-24 ;;1300-1400
http://www.wikidata.org/entity/Q45484580;Chen Yu;dynastie Ming;1313-01-01 ;1384-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q45502834;Hua Xiyan;dynastie Ming;1313-01-01 ;1398-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q966135;Lippo Vanni;République de Sienne;1315-01-01 ;1375-01-01 ;école siennoise;1300-1400
http://www.wikidata.org/entity/Q2210937;Allegretto Nuzi;États pontificaux;1315-01-01 ;1373-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q16657521;Sebald Weinschroeter;Allemagne;1318-01-01 ;1363-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q45386931;Cui Fu;dynastie Yuan en Chine;1318-01-01 ;1356-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q8666;Togoontömör;Empire mongol;1320-06-02 ;1370-05-31 ;;1300-1400
http://www.wikidata.org/entity/Q8666;Togoontömör;dynastie Yuan du Nord;1320-06-02 ;1370-05-31 ;;1300-1400
http://www.wikidata.org/entity/Q8666;Togoontömör;dynastie Yuan en Chine;1320-06-02 ;1370-05-31 ;;1300-1400
http://www.wikidata.org/entity/Q2258950;Jacopo di Cione;Italie;1325-01-01 ;1399-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q1769484;Niccolò da Bologna;seigneurie de Bologne;1325-01-01 ;1403-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q2260425;Dalmasio Scannabecchi;seigneurie de Bologne;1325-01-01 ;1374-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q1769484;Niccolò da Bologna;États pontificaux;1325-01-01 ;1403-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q2260425;Dalmasio Scannabecchi;États pontificaux;1325-01-01 ;1374-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q16185846;Ke Song;dynastie Ming;1327-01-01 ;1387-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q45409478;Chen Ruzhi;dynastie Ming;1329-01-01 ;1385-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q319403;Théophane le Grec;Empire byzantin;1330-01-01 ;1410-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q2023906;Cecco di Pietro;Italie;1330-01-01 ;1402-03-28 ;;1300-1400
http://www.wikidata.org/entity/Q516990;André Beauneveu;Pays-Bas méridionaux;1330-01-01 ;1400-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q3484633;Simone dei Crocifissi;seigneurie de Bologne;1330-01-01 ;1399-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q3484633;Simone dei Crocifissi;États pontificaux;1330-01-01 ;1399-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q10922970;Tang Su;dynastie Ming;1331-01-01 ;1374-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q3179177;Wang Lü;dynastie Ming;1332-01-01 ;1383-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q3179177;Wang Lü;dynastie Yuan en Chine;1332-01-01 ;1383-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q1762494;Ramón Destorrents;Couronne d'Aragon;1333-01-01 ;1391-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q11068970;Čang Jü;dynastie Ming;1333-01-01 ;1385-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q319403;Théophane le Grec;Empire byzantin;1335-01-01 ;1410-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q2288567;Jean de Beaumetz;France;1335-01-01 ;1396-10-16 ;;1300-1400
http://www.wikidata.org/entity/Q3571055;Xu Ben;dynastie Ming;1335-01-01 ;1380-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q10943311;Yao Guang Xiao;dynastie Ming;1335-01-01 ;1418-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q2656102;Lorenzo Veneziano;république de Venise;1336-01-01 ;1390-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q124128353;Benci di Cione;Italie;1337-01-01 ;1404-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q319403;Théophane le Grec;Empire byzantin;1340-01-01 ;1410-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q1370613;Hennequin de Bruges;France;1340-01-01 ;1400-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q1370613;Hennequin de Bruges;France;1340-01-01 ;http://www.wikidata.org/.well-known/genid/d01a56006148f5ff2bf8e3ea35fb8539;;1300-1400
http://www.wikidata.org/entity/Q19569731;Giovanni da Bologna;seigneurie de Bologne;1340-01-01 ;1393-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q116304768;Chen Shuqi;dynastie Ming;1342-01-01 ;1406-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q495419;Andrea di Bonaiuto;République florentine;1343-01-01 ;1379-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q670632;Maître Bertram;Allemagne;1345-01-01 ;1415-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q45503450;Zheng Shu;dynastie Ming;1346-01-01 ;1402-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q2996527;Grégoire de Tatev;royaume d'Arménie;1346-01-01 ;1410-01-05 ;;1300-1400
http://www.wikidata.org/entity/Q2909799;Bompō;Japon;1348-01-01 ;1420-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q3267623;Luo Zhichuan;Chine;1350-01-01 ;http://www.wikidata.org/.well-known/genid/412bfa27fd6580afdf185e7d7efda85b;;1300-1400
http://www.wikidata.org/entity/Q7967782;Wang Zhongyu;Chine;1350-01-01 ;http://www.wikidata.org/.well-known/genid/2bb7967f053c94e2c33dbe4487205d29;;1300-1400
http://www.wikidata.org/entity/Q4891945;Arnau Bassa;Couronne d'Aragon;1350-01-01 ;1348-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q5408732;Père Lembrí;Espagne;1350-01-01 ;1425-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q11935691;Martí Maiol;Espagne;1350-01-01 ;1350-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q744415;Maître de Rohan;France;1350-01-01 ;1500-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q2211325;Jacquemart de Hesdin;France;1350-01-01 ;1410-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q2211325;Jacquemart de Hesdin;France;1350-01-01 ;1414-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q287934;Spinello Aretino;Italie;1350-01-01 ;1410-03-23 ;;1300-1400
http://www.wikidata.org/entity/Q3530499;Tokusai;Japon;1350-01-01 ;1366-10-27 ;;1300-1400
http://www.wikidata.org/entity/Q3532591;Tosa Yukihiro;Japon;1350-01-01 ;1434-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q648008;Piero di Puccio;Royaume d'Italie;1350-01-01 ;1400-01-01 ;peinture gothique;1300-1400
http://www.wikidata.org/entity/Q1784661;Maître de Waltensburg;Suisse;1350-01-01 ;1400-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q766800;Sun Long;dynastie Ming;1350-01-01 ;http://www.wikidata.org/.well-known/genid/682cf84a6ef9a27bfb49813fce84431c;;1300-1400
http://www.wikidata.org/entity/Q2962599;Chen Ruyan;dynastie Ming;1350-01-01 ;1371-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q4499696;Li Zai;dynastie Ming;1350-01-01 ;1431-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q2889034;Wang Yuan;dynastie Yuan en Chine;1350-01-01 ;http://www.wikidata.org/.well-known/genid/1067dc0865ad16dddc482315c487dadc;;1300-1400
http://www.wikidata.org/entity/Q3575400;Zhao Yuan;dynastie Yuan en Chine;1350-01-01 ;http://www.wikidata.org/.well-known/genid/146fb6fae1698e17070fd36fb319a207;;1300-1400
http://www.wikidata.org/entity/Q3566124;Wang Zhenpeng;dynastie Yuan en Chine;1350-01-01 ;http://www.wikidata.org/.well-known/genid/64a242aa41baaaccb33cc067c67f8db0;;1300-1400
http://www.wikidata.org/entity/Q3571498;Yan Hui;dynastie Yuan en Chine;1350-01-01 ;http://www.wikidata.org/.well-known/genid/d7105ef0232493d7f6657c4d2f42196f;;1300-1400
http://www.wikidata.org/entity/Q5979126;Llorenç Saragossà;royaume d'Aragon;1350-01-01 ;1406-01-01 ;gothique international;1300-1400
http://www.wikidata.org/entity/Q2295527;Nicolò Semitecolo;république de Venise;1350-01-01 ;1350-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q3081135;Francesco del Fiore;république de Venise;1350-01-01 ;1412-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q45693716;Jin Xuan;dynastie Ming;1351-01-01 ;1436-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q2009694;Lippo Dalmasio;Italie;1352-01-01 ;1410-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q2009694;Lippo Dalmasio;seigneurie de Bologne;1352-01-01 ;1410-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q3779055;Guglielmo da Venezia;république de Venise;1353-01-01 ;1382-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q2254774;Gherardo Starnina;République florentine;1354-01-01 ;1413-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q2211325;Jacquemart de Hesdin;France;1355-01-01 ;1410-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q2211325;Jacquemart de Hesdin;France;1355-01-01 ;1414-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q469613;Melchior Broederlam;Pays-Bas méridionaux;1355-01-01 ;1410-01-01 ;Primitif flamand;1300-1400
http://www.wikidata.org/entity/Q469613;Melchior Broederlam;Pays-Bas méridionaux;1355-01-01 ;1411-01-01 ;Primitif flamand;1300-1400
http://www.wikidata.org/entity/Q890745;Bian Jingzhao;dynastie Ming;1355-01-01 ;1428-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q56813740;Xie Jin;dynastie Ming;1355-01-01 ;1430-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q94297287;Jacques Bertaux;France;1356-01-01 ;1813-06-01 ;;1300-1400
http://www.wikidata.org/entity/Q11138243;Shen Du;Chine;1357-01-01 ;1434-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q11138243;Shen Du;dynastie Ming;1357-01-01 ;1434-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q1393857;Lluis Borrassà;Couronne d'Aragon;1360-01-01 ;1425-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q838;Andreï Roublev;Grande-Principauté de Moscou;1360-01-01 ;1430-01-29 ;;1300-1400
http://www.wikidata.org/entity/Q901946;Daniil Tcherny;Grande-Principauté de Moscou;1360-01-01 ;1430-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q9201552;Danił Czarny;Grande-Principauté de Moscou;1360-01-01 ;1430-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q6728564;Chu Jen;dynastie Ming;1360-01-01 ;1443-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q6728564;Chu Jen;dynastie Ming;1360-01-01 ;1443-09-20 ;;1300-1400
http://www.wikidata.org/entity/Q2070677;Maître du Parement de Narbonne;France;1361-01-01 ;1500-01-01 ;gothique international;1300-1400
http://www.wikidata.org/entity/Q6728564;Chu Jen;dynastie Ming;1361-01-01 ;1443-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q6728564;Chu Jen;dynastie Ming;1361-01-01 ;1443-09-20 ;;1300-1400
http://www.wikidata.org/entity/Q45439746;Hu Guan;dynastie Ming;1361-01-01 ;1443-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q26300026;Master of Villahermosa;Espagne;1362-01-01 ;1396-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q740231;Taddeo di Bartolo;Italie;1362-01-01 ;1422-01-01 ;école siennoise;1300-1400
http://www.wikidata.org/entity/Q740231;Taddeo di Bartolo;Italie;1362-01-01 ;1422-09-04 ;école siennoise;1300-1400
http://www.wikidata.org/entity/Q2311429;Wang Fu;dynastie Ming;1362-01-01 ;1416-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q3022993;Denis de Glouchitsa;Grande-Principauté de Moscou;1363-01-01 ;1437-06-10 ;École iconographique de Vologda;1300-1400
http://www.wikidata.org/entity/Q45508964;Yu Qian;dynastie Ming;1364-01-01 ;1426-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q17621242;Antoni Peris;Couronne d'Aragon;1365-01-01 ;1436-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q364350;Hubert van Eyck;Pays-Bas méridionaux;1366-01-01 ;1426-09-18 ;;1300-1400
http://www.wikidata.org/entity/Q1677708;Jacobello Alberegno;république de Venise;1367-01-01 ;http://www.wikidata.org/.well-known/genid/f3fb9ebe61874593ca17fbbe94df5f60;;1300-1400
http://www.wikidata.org/entity/Q5843810;Guerau Gener;Couronne d'Aragon;1369-01-01 ;1408-01-01 ;gothique international;1300-1400
http://www.wikidata.org/entity/Q703287;Jean Malouel;France;1370-01-01 ;1415-03-01 ;;1300-1400
http://www.wikidata.org/entity/Q155376;Lorenzo Monaco;Italie;1370-01-01 ;1425-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q3570974;Xie Huan;dynastie Ming;1370-01-01 ;1450-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q4499522;Guo Chun;dynastie Ming;1370-01-01 ;1444-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q15926717;Chen Ji;dynastie Ming;1370-01-01 ;1434-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q2634352;Jacobello del Fiore;république de Venise;1370-01-01 ;1439-01-01 ;Renaissance;1300-1400
http://www.wikidata.org/entity/Q11094253;Zhu Bo;dynastie Ming;1371-09-20 ;1399-07-01 ;;1300-1400
http://www.wikidata.org/entity/Q13422938;`Abd al-Hayy;Iran;1374-01-01 ;1405-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q2847131;André Abellon;France;1375-01-01 ;1450-05-15 ;;1300-1400
http://www.wikidata.org/entity/Q80442;Robert Campin;Pays-Bas méridionaux;1375-01-01 ;1444-05-05 ;Primitif flamand;1300-1400
http://www.wikidata.org/entity/Q23620583;Battista da Vicenza;république de Venise;1375-01-01 ;1438-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q45546950;Zhu Zhi;dynastie Ming;1377-01-01 ;1424-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q208125;Lorenzo di Clone Ghiberti;République florentine;1378-01-01 ;1455-12-10 ;Première Renaissance;1300-1400
http://www.wikidata.org/entity/Q985448;Zhu Quan;dynastie Ming;1378-05-27 ;1448-10-12 ;;1300-1400
http://www.wikidata.org/entity/Q5515765;Gabriel Mòger;Mallorquina;1379-01-01 ;1439-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q18396819;Shen Can;dynastie Ming;1379-01-01 ;1453-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q701623;Maître Francke;Allemagne;1380-01-01 ;1435-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q1583547;Hans von Tübingen;Allemagne;1380-01-01 ;1462-02-01 ;;1300-1400
http://www.wikidata.org/entity/Q9066316;Ramon de Mur;Couronne d'Aragon;1380-01-01 ;1436-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q108495505;Nikolaos Philanthropinos;Empire byzantin;1380-01-01 ;1450-01-01 ;École crétoise;1300-1400
http://www.wikidata.org/entity/Q108495505;Nikolaos Philanthropinos;Empire byzantin;1380-01-01 ;1450-01-01 ;Renaissance italienne;1300-1400
http://www.wikidata.org/entity/Q108495505;Nikolaos Philanthropinos;Empire byzantin;1380-01-01 ;1450-01-01 ;Renaissance Paléologue;1300-1400
http://www.wikidata.org/entity/Q5610359;Jacob Coene;Pays-Bas;1380-01-01 ;1411-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q3900889;Peter Maggenberg;Suisse;1380-01-01 ;1462-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q1626922;Gonzalo Pérez;royaume de Valence;1380-01-01 ;1451-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q15088717;Domenico Lu Domine;république de Venise;1380-01-01 ;1447-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q19569859;Zanino di Pietro;république de Venise;1380-01-01 ;1448-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q108495505;Nikolaos Philanthropinos;république de Venise;1380-01-01 ;1450-01-01 ;École crétoise;1300-1400
http://www.wikidata.org/entity/Q108495505;Nikolaos Philanthropinos;république de Venise;1380-01-01 ;1450-01-01 ;Renaissance italienne;1300-1400
http://www.wikidata.org/entity/Q108495505;Nikolaos Philanthropinos;république de Venise;1380-01-01 ;1450-01-01 ;Renaissance Paléologue;1300-1400
http://www.wikidata.org/entity/Q4888061;Jaume Mateu;Couronne d'Aragon;1382-01-01 ;1452-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q318117;Masolino da Panicale;Italie;1383-01-01 ;1447-01-01 ;Renaissance italienne;1300-1400
http://www.wikidata.org/entity/Q506381;Maître de la Véronique;Allemagne;1385-01-01 ;1420-01-01 ;gothique international;1300-1400
http://www.wikidata.org/entity/Q3089258;Josetsu;Japon;1386-01-01 ;1428-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q37562;Donatello;République florentine;1386-01-01 ;1466-12-13 ;Première Renaissance;1300-1400
http://www.wikidata.org/entity/Q15267184;Antonio Baietto;république de Venise;1386-01-01 ;1452-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q89573272;Jean I de Stoevere;Pays-Bas méridionaux;1387-01-01 ;1443-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q89573272;Jean I de Stoevere;Pays-Bas méridionaux;1387-01-01 ;1470-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q741512;Dai Jin;dynastie Ming;1388-01-01 ;1462-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q1064977;Xia Chang;dynastie Ming;1388-01-01 ;1470-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q464867;Lukas Moser;Allemagne;1390-01-01 ;1434-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q464867;Lukas Moser;Allemagne;1390-01-01 ;1443-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q705421;Bernat Martorell;Couronne d'Aragon;1390-01-01 ;1452-01-01 ;gothique international;1300-1400
http://www.wikidata.org/entity/Q4165780;Guillaume Dombet;France;1390-01-01 ;1461-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q5576608;Nicolás Francés;France;1390-01-01 ;1468-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q68631;Roger de Le Pasture;Pays-Bas bourguignons;1390-01-01 ;1464-06-25 ;Primitif flamand;1300-1400
http://www.wikidata.org/entity/Q68631;Roger de Le Pasture;Pays-Bas bourguignons;1390-01-01 ;1464-06-27 ;Primitif flamand;1300-1400
http://www.wikidata.org/entity/Q102272;Jan van Eyck;Pays-Bas méridionaux;1390-01-01 ;1441-06-09 ;Primitif flamand;1300-1400
http://www.wikidata.org/entity/Q102272;Jan van Eyck;Pays-Bas méridionaux;1390-01-01 ;1441-07-18 ;Primitif flamand;1300-1400
http://www.wikidata.org/entity/Q102272;Jan van Eyck;Pays-Bas méridionaux;1390-01-01 ;1441-06-09 ;Renaissance nordique;1300-1400
http://www.wikidata.org/entity/Q102272;Jan van Eyck;Pays-Bas méridionaux;1390-01-01 ;1441-07-18 ;Renaissance nordique;1300-1400
http://www.wikidata.org/entity/Q2863116;Arnaud Gassies;royaume d'Aragon;1390-01-01 ;1456-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q6121141;Santiago Santana;Espagne;1393-03-13 ;1996-04-10 ;;1300-1400
http://www.wikidata.org/entity/Q1645722;Mariotto di Nardo;République florentine;1394-01-01 ;1424-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q486251;Yangnyeong;période Joseon;1394-01-01 ;1462-09-07 ;;1300-1400
http://www.wikidata.org/entity/Q45540454;Zhang Yi;dynastie Ming;1395-01-01 ;1449-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q5310070;Du Qiong;dynastie Ming;1396-01-01 ;1474-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q3347312;Nōami;Japon;1397-01-01 ;1471-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q89573272;Jean I de Stoevere;Pays-Bas méridionaux;1397-01-01 ;1443-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q89573272;Jean I de Stoevere;Pays-Bas méridionaux;1397-01-01 ;1470-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q380537;Francesco Squarcione;république de Venise;1397-01-01 ;1468-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q1394591;Lazzaro Vasari;République florentine;1399-01-01 ;1468-01-01 ;;1300-1400
http://www.wikidata.org/entity/Q9977;Ming Xuanzong;dynastie Ming;1399-03-16 ;1435-02-09 ;;1300-1400
http://www.wikidata.org/entity/Q324079;Meister des Malchiner Altars;Allemagne;1400-01-01 ;1500-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q313183;Konrad Witz;Allemagne;1400-01-01 ;1446-01-01 ;Renaissance;1400-1500
http://www.wikidata.org/entity/Q313183;Konrad Witz;Allemagne;1400-01-01 ;1445-01-01 ;Renaissance;1400-1500
http://www.wikidata.org/entity/Q506381;Maître de la Véronique;Allemagne;1400-01-01 ;1420-01-01 ;gothique international;1400-1500
http://www.wikidata.org/entity/Q663122;Hans Multscher;Allemagne;1400-01-01 ;1467-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q1263722;Maître du Calvaire Wasservass;Allemagne;1400-01-01 ;1500-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q1521692;Meister des Rostocker Dreikönigsaltars;Allemagne;1400-01-01 ;1500-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q1668931;Maître de la Sainte Parenté l'Ancien;Allemagne;1400-01-01 ;1500-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q1582652;Hans Stethaimer;Allemagne;1400-01-01 ;1460-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q1918377;Maître de la Légende de saint Georges;Allemagne;1400-01-01 ;1490-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q1918528;Meister des Deichsler-Altars;Allemagne;1400-01-01 ;1500-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q1918547;Maître du retable de Imhof;Allemagne;1400-01-01 ;1500-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q1678875;Jakob Acker der Ältere;Allemagne;1400-01-01 ;1500-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q1727220;Meister der Goslarer Sibyllen;Allemagne;1400-01-01 ;1500-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q1598567;Sebald Fyoll;Allemagne;1400-01-01 ;1462-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q1740170;Meister des Peringsdörfer-Altars;Allemagne;1400-01-01 ;1500-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q1686343;Master of the Lübeck Altar;Allemagne;1400-01-01 ;1500-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q15834781;Meister des Erfurter Einhornaltars;Allemagne;1400-01-01 ;1500-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q16509185;Meister des Hochaltars von St. Jakob;Allemagne;1400-01-01 ;1400-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q18288431;Meister der Volckamer’schen Verkündigung;Allemagne;1400-01-01 ;1500-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q1918718;Maître du Château de Lichtenstein;Autriche;1400-01-01 ;1460-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q195196;Domingo Valls;Couronne d'Aragon;1400-01-01 ;1409-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q3297636;Blasco de Grañén;Couronne d'Aragon;1400-01-01 ;1459-10-01 ;;1400-1500
http://www.wikidata.org/entity/Q3322222;Jaume Serra;Couronne d'Aragon;1400-01-01 ;1405-01-01 ;;1400-1500
http://www.wikidata.org/entity/Q11698899;Pere Nicolau;Couronne d'Aragon;1400-01-01 ;1408-01-01 ;;1400-1500
